file_ID,run_ID,trt,temperature,treatment,sample_rep,project,pigment_ID,pigment_num,RT_min,area,int_type,I,S_N,chromatogram,max_mz,FWHM_min,processing_notes,dilution_notes,dilution_factor,slope,intercept,disc_area,injection_solution_vol_mL,injection_volume_machine_uL,mass_ug,mass_ug_cm2
"171214_sample13c_dil_1-B,7_01_1129.d",13C_dil,12C,12,C,3,Incubation_Oleksy,chla,5,4.39,3.9285,Chromatogram,10,72.8,"UV Chromatogram, 440 nm",NA,0.02,,,3,0.000178,0.000035,5.73,1,0.1,22.02819,3.847347408
"171214_sample15c_dil_1-C,1_01_1131.d",15C_dil,12C,12,C,6,Incubation_Oleksy,chla,5,4.39,2.2449,Chromatogram,9,49.9,"UV Chromatogram, 440 nm",NA,0.02,,,3,0.000178,0.000035,5.73,1,0.1,13.037766,2.277119238
"171214_sample13c_dil_1-B,7_01_1129.d",13C_dil,12C,12,C,3,Incubation_Oleksy,chlb,4,4.07,1.5142,Chromatogram,8,36.7,"UV Chromatogram, 440 nm",NA,0.02,,,3,0.00017,0.000021,5.73,1,0.1,8.35242,1.458797179
"171214_sample14c_dil_1-B,8_01_1130.d",14C_dil,12C,12,C,5,Incubation_Oleksy,chla,5,4.4,1.0284,Manual,8,24.3,"UV Chromatogram, 440 nm",NA,0.02,,,3,0.000178,0.000035,5.73,1,0.1,6.541656,1.142537052
"171214_sample15c_dil_1-C,1_01_1131.d",15C_dil,12C,12,C,6,Incubation_Oleksy,chlb,4,4.07,0.8262,Chromatogram,7,24.4,"UV Chromatogram, 440 nm",NA,0.02,,,3,0.00017,0.000021,5.73,1,0.1,4.84362,0.845965504
"171214_sample13c_dil_1-B,7_01_1129.d",13C_dil,12C,12,C,3,Incubation_Oleksy,aphan,2,2.24,0.4281,Manual,1,7.2,"UV Chromatogram, 440 nm",NA,0.03,,,3,0.0003,0,5.73,1,0.1,3.8529,0.672930678
"171214_sample14c_dil_1-B,8_01_1130.d",14C_dil,12C,12,C,5,Incubation_Oleksy,chlb,4,4.08,0.4323,Chromatogram,7,15.7,"UV Chromatogram, 440 nm",NA,0.02,,,3,0.00017,0.000021,5.73,1,0.1,2.83473,0.495101555
"171214_sample13c_dil_1-B,7_01_1129.d",13C_dil,12C,12,C,3,Incubation_Oleksy,fuco,1,2.13,0.5599,Manual,1,9.6,"UV Chromatogram, 440 nm",NA,0.02,,,3,0.000165,0,5.73,1,0.1,2.771505,0.484058953
"171214_sample15c_dil_1-C,1_01_1131.d",15C_dil,12C,12,C,6,Incubation_Oleksy,fuco,1,2.13,0.1621,Manual,1,6.3,"UV Chromatogram, 440 nm",NA,0.01,,,3,0.000165,0,5.73,1,0.1,0.802395,0.140142804
"171214_sample14c_dil_1-B,8_01_1130.d",14C_dil,12C,12,C,5,Incubation_Oleksy,fuco,1,2.14,0.1316,Manual,1,3.9,"UV Chromatogram, 440 nm",NA,0.02,,,3,0.000165,0,5.73,1,0.1,0.65142,0.113774171
