FOUND MISTAKE IN THIS SHEET !!!!!!! THE SAMPLE IDS AND TREATMENTS DO NOT MATCH UP. FIXED IN THE MOST RECENT VERSION,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
sample_id,temperature,treatment,tempxtrt,rep,date,type,DOC_mgL,TDN_mgL,TDN_uM,NH4_mgL,NO3_mgL,PO4_mgL,PO4_uM,incubation_start,days_incubating,initial_DOC_mgL,initial_TDN_uM,initial_PO4_uM,initial_NH4_mgL,SA_frit_cm2
8C-1,8,Control,8Control,1,17/09/24,Take down,3.94,0.17,12.2,0.07,0.21,0.232,7.481,17/09/15,8,0.659,18.087,0.807,0.037,5.7
8C-2,8,Control,8Control,2,17/09/24,Take down,3.9,0.17,12.12,0.06,0.15,0.213,6.878,17/09/15,8,0.659,18.087,0.807,0.037,5.7
8C-3,8,Control,8Control,3,17/09/24,Take down,2.75,0.12,8.5,0.02,0.08,0.208,6.723,17/09/15,8,0.659,18.087,0.807,0.037,5.7
8C-4,8,Control,8Control,4,17/09/24,Take down,3.44,0.11,8.03,0.02,0.2,0.229,7.397,17/09/15,8,0.659,18.087,0.807,0.037,5.7
8C-5,8,Control,8Control,5,17/09/24,Take down,3.93,0.17,11.78,0.05,0.08,0.059,1.915,17/09/15,8,0.659,18.087,0.807,0.037,5.7
8C-6,8,Control,8Control,6,17/09/24,Take down,2.55,0.18,12.67,0.05,0.3,0.221,7.136,17/09/15,8,0.659,18.087,0.807,0.037,5.7
12C-1,12,Control,12Control,1,17/09/24,Take down,2.39,0.1,7.26,0.04,0.08,0.205,6.603,17/09/15,8,0.659,18.087,0.807,0.037,5.7
12C-2,12,Control,12Control,2,17/09/24,Take down,2.42,0.09,6.62,0.04,0.09,0.202,6.529,17/09/15,8,0.659,18.087,0.807,0.037,5.7
12C-3,12,Control,12Control,3,17/09/24,Take down,3.13,0.13,8.95,0.03,0.08,0.207,6.684,17/09/15,8,0.659,18.087,0.807,0.037,5.7
12C-4,12,Control,12Control,4,17/09/24,Take down,2.1,0.11,8.02,0.05,0.03,0.025,0.807,17/09/15,8,0.659,18.087,0.807,0.037,5.7
12C-5,12,Control,12Control,5,17/09/24,Take down,2.63,0.12,8.4,0.16,0.1,0.199,6.422,17/09/15,8,0.659,18.087,0.807,0.037,5.7
12C-6,12,Control,12Control,6,17/09/24,Take down,2.67,0.11,7.74,0.1,0.12,0.204,6.593,17/09/15,8,0.659,18.087,0.807,0.037,5.7
16C-1,16,Control,16Control,1,17/09/24,Take down,3.7,0.17,11.82,0.05,0.08,0.025,0.807,17/09/15,8,0.659,18.087,0.807,0.037,5.7
16C-2,16,Control,16Control,2,17/09/24,Take down,2.8,0.14,10.17,0.04,0.09,0.025,0.807,17/09/15,8,0.659,18.087,0.807,0.037,5.7
16C-3,16,Control,16Control,3,17/09/24,Take down,3.27,0.13,9.58,0.03,0.08,0.025,0.807,17/09/15,8,0.659,18.087,0.807,0.037,5.7
16C-4,16,Control,16Control,4,17/09/24,Take down,3.35,0.14,9.95,0.03,0.08,0.025,0.807,17/09/15,8,0.659,18.087,0.807,0.037,5.7
16C-5,16,Control,16Control,5,17/09/24,Take down,2.81,0.11,7.71,0.03,0.08,0.025,0.807,17/09/15,8,0.659,18.087,0.807,0.037,5.7
8P-1,8,N + P,8N + P,1,17/09/24,Take down,3.12,0.12,8.78,0,0.07,0.216,6.978,17/09/15,8,0.659,66.635,8.718,0.037,5.7
8P-3,8,N + P,8N + P,3,17/09/24,Take down,2.03,0.11,7.99,0.04,0.08,0.207,6.697,17/09/15,8,0.659,66.635,8.718,0.037,5.7
8P-4,8,N + P,8N + P,4,17/09/24,Take down,3.2,0.11,8.15,0.02,0.08,0.2,6.458,17/09/15,8,0.659,66.635,8.718,0.037,5.7
8P-5,8,N + P,8N + P,5,17/09/24,Take down,3.06,0.1,7.34,0.02,0.08,0.195,6.287,17/09/15,8,0.659,66.635,8.718,0.037,5.7
8P-6,8,N + P,8N + P,6,17/09/24,Take down,3.53,0.11,7.67,0.03,0.1,0.209,6.742,17/09/15,8,0.659,66.635,8.718,0.037,5.7
12P-1,12,N + P,12N + P,1,17/09/24,Take down,1.77,0.13,8.97,0.49,0.08,0.025,0.807,17/09/15,8,0.659,66.635,8.718,0.037,5.7
12P-2,12,N + P,12N + P,2,17/09/24,Take down,2.06,0.1,6.8,0.03,0.08,0.025,0.807,17/09/15,8,0.659,66.635,8.718,0.037,5.7
12P-3,12,N + P,12N + P,3,17/09/24,Take down,1.93,0.11,7.76,0.03,0.08,0.025,0.807,17/09/15,8,0.659,66.635,8.718,0.037,5.7
12P-4,12,N + P,12N + P,4,17/09/24,Take down,2.08,0.11,7.5,0.03,0.08,0.025,0.807,17/09/15,8,0.659,66.635,8.718,0.037,5.7
12P-5,12,N + P,12N + P,5,17/09/24,Take down,2.02,0.1,7.26,0.02,0.08,0.025,0.807,17/09/15,8,0.659,66.635,8.718,0.037,5.7
12P-6,12,N + P,12N + P,6,17/09/24,Take down,1.7,0.12,8.5,0.03,0.08,0.025,0.807,17/09/15,8,0.659,66.635,8.718,0.037,5.7
16P-1,16,N + P,16N + P,1,17/09/24,Take down,1.7,0.13,9.09,0.04,0.03,0.025,0.807,17/09/15,8,0.659,66.635,8.718,0.037,5.7
16P-2,16,N + P,16N + P,2,17/09/24,Take down,1.69,0.14,9.75,0.04,0.08,0.025,0.807,17/09/15,8,0.659,66.635,8.718,0.037,5.7
