sample_id,temperature,treatment,tempxtrt,rep,date,type,DOC_mgL,TDN_mgL,TDN_uM,NH4_mgL,NO3_mgL,PO4_mgL,PO4_uM,incubation_start,days_incubating,initial_NO3_mgL,initial_DOC_mgL,initial_TDN_uM,initial_PO4_uM,initial_NH4_mgL,SA_frit_cm2,chl_a_phyto
8C-1,8,C,8Control,1,17/09/24,Take down,3.94,0.17,12.2,0.07,0.21,0.23,7.481,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,23.52
8C-2,8,C,8Control,2,17/09/24,Take down,3.9,0.17,12.12,0.06,0.15,0.21,6.878,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,11.44
8C-3,8,C,8Control,3,17/09/24,Take down,2.75,0.12,8.5,0.02,0.08,0.21,6.723,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,23.3
8C-4,8,C,8Control,4,17/09/24,Take down,3.44,0.11,8.03,0.02,0.2,0.23,7.397,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,25.36
8C-5,8,C,8Control,5,17/09/24,Take down,3.93,0.17,11.78,0.05,0.08,0.06,1.915,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,22.91
8C-6,8,C,8Control,6,17/09/24,Take down,2.55,0.18,12.67,0.05,0.3,0.22,7.136,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,13.15
12C-1,12,C,12Control,1,17/09/24,Take down,2.39,0.1,7.26,0.04,0.08,0.2,6.603,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,9.12
12C-2,12,C,12Control,2,17/09/24,Take down,2.42,0.09,6.62,0.04,0.09,0.2,6.529,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,23.55
12C-3,12,C,12Control,3,17/09/24,Take down,3.13,0.13,8.95,0.03,0.08,0.21,6.684,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,27.59
12C-4,12,C,12Control,4,17/09/24,Take down,2.1,0.11,8.02,0.05,0.03,0.03,0.807,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,21.2
12C-5,12,C,12Control,5,17/09/24,Take down,2.63,0.12,8.4,0.16,0.1,0.2,6.422,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,32.49
12C-6,12,C,12Control,6,17/09/24,Take down,2.67,0.11,7.74,0.1,0.12,0.2,6.593,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,22.32
16C-1,16,C,16Control,1,17/09/24,Take down,3.7,0.17,11.82,0.05,0.08,0.03,0.807,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,13.77
16C-2,16,C,16Control,2,17/09/24,Take down,2.8,0.14,10.17,0.04,0.09,0.03,0.807,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,9
16C-3,16,C,16Control,3,17/09/24,Take down,3.27,0.13,9.58,0.03,0.08,0.03,0.807,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,21.15
16C-4,16,C,16Control,4,17/09/24,Take down,3.35,0.14,9.95,0.03,0.08,0.03,0.807,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,20.69
16C-5,16,C,16Control,5,17/09/24,Take down,2.81,0.11,7.71,0.03,0.08,0.03,0.807,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,20.72
16C-6,16,C,16Control,6,17/09/24,Take down,3.23,0.15,11.02,0.03,0.08,0.03,0.807,17/09/15,9,0.69,0.659,18.087,0.8,0.038,5.7,30.7
8NP-1,8,NP,8N+P,1,17/09/24,Take down,3.42,0.19,13.61,0.03,0.3,0.3,9.809,17/09/15,9,3.41,0.659,66.635,8.7,0.038,5.7,73.11
8NP-2,8,NP,8N+P,2,17/09/24,Take down,2.84,0.27,19.12,0.04,0.52,0.29,9.296,17/09/15,9,3.41,0.659,66.635,8.7,0.038,5.7,81.57
8NP-3,8,NP,8N+P,3,17/09/24,Take down,3.79,0.2,14.58,0.03,0.2,0.29,9.403,17/09/15,9,3.41,0.659,66.635,8.7,0.038,5.7,74.25
